group_id,scope,identity_fields,identity_key,ts_code,trade_date,category,row_count,category_values,request_idx_type_values,differing_business_fields
explicit_idx_type-000035,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250124,BK0429.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000036,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250127,BK0429.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000037,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250102,BK0447.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000038,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250103,BK0447.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000039,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250106,BK0447.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000040,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250107,BK0447.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000041,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250108,BK0447.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000042,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250109,BK0447.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000043,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250110,BK0447.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000044,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250113,BK0447.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000045,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250114,BK0447.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000046,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250115,BK0447.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000047,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250116,BK0447.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000048,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250117,BK0447.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000049,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250120,BK0447.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000050,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250121,BK0447.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000051,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250122,BK0447.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000052,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250123,BK0447.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000053,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250124,BK0447.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000054,explicit_idx_type,"ts_code,trade_date",BK0447.DC|20250127,BK0447.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000055,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250102,BK0470.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000056,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250103,BK0470.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000057,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250106,BK0470.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000058,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250107,BK0470.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000059,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250108,BK0470.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000060,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250109,BK0470.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000061,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250110,BK0470.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000062,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250113,BK0470.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000063,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250114,BK0470.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000064,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250115,BK0470.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000065,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250116,BK0470.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000066,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250117,BK0470.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000067,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250120,BK0470.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000068,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250121,BK0470.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000069,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250122,BK0470.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000070,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250123,BK0470.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000071,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250124,BK0470.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000072,explicit_idx_type,"ts_code,trade_date",BK0470.DC|20250127,BK0470.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000073,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250102,BK0477.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000074,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250103,BK0477.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000075,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250106,BK0477.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000076,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250107,BK0477.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000077,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250108,BK0477.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000078,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250109,BK0477.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000079,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250110,BK0477.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000080,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250113,BK0477.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000081,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250114,BK0477.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000082,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250115,BK0477.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000083,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250116,BK0477.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000084,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250117,BK0477.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000085,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250120,BK0477.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000086,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250121,BK0477.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000087,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250122,BK0477.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000088,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250123,BK0477.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000089,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250124,BK0477.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000090,explicit_idx_type,"ts_code,trade_date",BK0477.DC|20250127,BK0477.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000091,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250102,BK0480.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000092,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250103,BK0480.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000093,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250106,BK0480.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000094,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250107,BK0480.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000095,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250108,BK0480.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000096,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250109,BK0480.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000097,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250110,BK0480.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000098,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250113,BK0480.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000099,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250114,BK0480.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000100,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250115,BK0480.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000101,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250116,BK0480.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000102,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250117,BK0480.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000103,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250120,BK0480.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000104,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250121,BK0480.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000105,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250122,BK0480.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000106,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250123,BK0480.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000107,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250124,BK0480.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000108,explicit_idx_type,"ts_code,trade_date",BK0480.DC|20250127,BK0480.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000109,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250102,BK0485.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000110,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250103,BK0485.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000111,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250106,BK0485.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000112,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250107,BK0485.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000113,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250108,BK0485.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000114,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250109,BK0485.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000115,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250110,BK0485.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000116,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250113,BK0485.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000117,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250114,BK0485.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000118,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250115,BK0485.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000119,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250116,BK0485.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000120,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250117,BK0485.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000121,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250120,BK0485.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000122,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250121,BK0485.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000123,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250122,BK0485.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000124,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250123,BK0485.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000125,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250124,BK0485.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000126,explicit_idx_type,"ts_code,trade_date",BK0485.DC|20250127,BK0485.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000127,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250102,BK0729.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000128,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250103,BK0729.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000129,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250106,BK0729.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000130,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250107,BK0729.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000131,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250108,BK0729.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000132,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250109,BK0729.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000133,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250110,BK0729.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000134,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250113,BK0729.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000135,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250114,BK0729.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000136,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250115,BK0729.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000137,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250116,BK0729.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000138,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250117,BK0729.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000139,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250120,BK0729.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000140,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250121,BK0729.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000141,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250122,BK0729.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000142,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250123,BK0729.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000143,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250124,BK0729.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000144,explicit_idx_type,"ts_code,trade_date",BK0729.DC|20250127,BK0729.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000145,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250102,BK0730.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000146,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250103,BK0730.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000147,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250106,BK0730.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000148,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250107,BK0730.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000149,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250108,BK0730.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000150,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250109,BK0730.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000151,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250110,BK0730.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000152,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250113,BK0730.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000153,explicit_idx_type,"ts_code,trade_date",BK0730.DC|20250114,BK0730.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
